image,caption
dataset/images/1.png,"a small amphibian Pokémon has blue-green skin with darker patches. it has red eyes with white pupils, pointed, ear-like structures on top of its head. small, pointed teeth are visible in the upper jaw when its mouth is open."
dataset/images/2.png,"Ivysaur has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw. each of its feet has three claws on them."
dataset/images/3.png,"a squat, quadrupedal amphibian Pokémon has bumpy, blue-green skin. its mouth is wide with two pointed teeth in the upper jaw and four in the lower jaw. on top of its head are small, pointed ears with redd"
dataset/images/4.png,"a bipedal, reptilian Pokémon with a primarily orange body and blue eyes. it has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw."
dataset/images/5.png,it has dark red scales and a cream underside from the chest down. on the back of its head is a single horn-like protrusion.
dataset/images/6.png,"a draconic, bipedal Pokémon is primarily orange with a cream underside from the chest to the tip of its tail. it has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protrud"
dataset/images/7.png,"reptilian Pokémon runs on all fours in super Smash Bros. Brawl. it has large, purplish, or reddish eyes and a slightly hooked upper lip."
dataset/images/8.png,"a bipedal, indigo reptilian Pokémon similar to a turtle. it has brown eyes, a dark blue streak on each cheek, and two sharp teeth. on each side of its head are feather-like ears covered in pale blue fur."
dataset/images/9.png,"a large, bipedal turtle Pokémon is hidden by its tough, brown shell. it has a cream-colored underside and a white ridge encircling its arms. two powerful water cannons/jet nozzles reside at the top of"
dataset/images/10.png,an insect Pokémon that resembles a green caterpillar with a yellow underside and teardrop-shaped tail. yellow ring-shaped markings down the sides of its segmented body resemble its eyes and are meant to scare off predators.
dataset/images/11.png,"an insect Pokémon that resembles a green chrysalis. its body is crescent-shaped, with several segments making up the lower point. the front of its shell feature geometrically shaped portions and projections."
dataset/images/12.png,"a lepidopteran insect Pokémon resembles a vaguely anthropomorphic butterfly with a purple body. it only has two body segments and four light blue legs. the upper pair of its legs resemble small, three-fingered hands."
dataset/images/13.png,"weedle has a conical, two-inch (five-centimeter) venomous stinger on its head and a barbed one on its tail. it can distinguish its favorite kinds of leaves using its acute sense of smell."
dataset/images/14.png,"Kakuna has a dome-shaped head and black, triangular eyes. it has two scythe-like arms in the middle of its body. when it comes close to evolving, its body gives off heat."
dataset/images/15.png,"Beedrill's head is round with a slightly pointed mouth, large, red eyes, and black antennae with a sharp bend in the middle. it stands on its other two legs, which are long, segmented, and insectoid in shape "
dataset/images/16.png,"avian Pokémon is primarily brown with a cream-colored face, underside, and flight feathers. on top of its head is a short crest of three tufts. the outer two tufts are cream-colored."
dataset/images/17.png,"a raptor-like avian Pokémon is covered with brown feathers and has a cream-colored face, underside, and flight feathers. the plumage of its tail has alternating red and yellow feathers with ragged tips."
dataset/images/18.png,"an avian Pokémon with large wings, sharp talons, and a short, hooked beak. its glossy plumage is mostly brown with cream-colored underparts and flight feathers."
dataset/images/19.png,"a small, quadrupedal rodent Pokémon has purple fur with a cream-colored face, paws, and underbelly. it has narrow eyes containing white sclera and pupil with red irises, rounded ears with cream"
dataset/images/20.png,"a large, rodent-like Pokémon is often depicted on its hind legs. it has narrow black eyes, ears with ragged edges and dark insides. there are three whiskers on each side of its face, which it uses to maintain balance."
dataset/images/21.png,"the visual description of the Pokemon is very small. it has rough, brown plumage on its head and three brown tail feathers. it has narrow, dark brown eyes with white pupils and a short, hooked beak."
dataset/images/22.png,"large, mostly brown avian Pokémon with a vulturine neck and powerful wings. it has a long, pointed, pink beak and a red coxcomb on top of its head."
dataset/images/23.png,"a purple, serpentine Pokémon grows longer with age. its eyes, underbelly, the thick stripe around its neck and the rattle are yellow."
dataset/images/24.png,snakeine Pokémon has narrow eyes and several sharp teeth. just below its head is a large hood with a face-like pattern. pattern typically has two red and yellow eyespots outlined in black.
dataset/images/25.png,"the Pokémon is covered in yellow fur with two horizontal brown stripes on its back. it has a small mouth, long, pointed ears with black tips, and brown eyes."
dataset/images/26.png,"a bipedal, rodent-like Pokémon is classified as bipedal. its bifurcated ears are brown on the outside, yellow on the insides, and end in a distinctive curl. there is a circular yellow marking on each cheek where its electric"
